State , District , Total Enrolments 
Andaman_and_Nicobar_Islands, North_And_Middle_Andaman,202187
Andaman_and_Nicobar_Islands, South_Andaman,120611
Andaman_and_Nicobar_Islands, Nicobar,30211
Andhra_Pradesh, East_Godavari,5.29146E6
Andhra_Pradesh, Guntur,4.793313E6
Andhra_Pradesh, Krishna,4.387136E6
Andhra_Pradesh, Visakhapatnam,4.269006E6
Andhra_Pradesh, Ananthapur,4.242639E6
Andhra_Pradesh, Chittoor,4.1635E6
Andhra_Pradesh, Kurnool,3.966648E6
Andhra_Pradesh, West_Godavari,3.937993E6
Andhra_Pradesh, Prakasam,3.344787E6
Andhra_Pradesh, Nellore,2.896285E6
Andhra_Pradesh, Srikakulam,2.836207E6
Andhra_Pradesh, Cuddapah,2.789773E6
Andhra_Pradesh, Vizianagaram,2.336821E6
Arunachal_Pradesh, Papum_Pare,110214
Arunachal_Pradesh, Namsai,68252
Arunachal_Pradesh, East_Siang,61118
Arunachal_Pradesh, West_Kameng,54959
Arunachal_Pradesh, Changlang,52366
Arunachal_Pradesh, West_Siang,49395
Arunachal_Pradesh, Lower_Subansiri,39686
Arunachal_Pradesh, Lower_Dibang_Valley,37914
Arunachal_Pradesh, Lohit,33474
Arunachal_Pradesh, Upper_Subansiri,32796
Arunachal_Pradesh, Tawang,29029
Arunachal_Pradesh, Tirap,28321
Arunachal_Pradesh, East_Kameng,27374
Arunachal_Pradesh, Longding,26993
Arunachal_Pradesh, Upper_Siang,22674
Arunachal_Pradesh, Kurung_Kumey,14198
Arunachal_Pradesh, Anjaw,10526
Arunachal_Pradesh, Siang,5627
Arunachal_Pradesh, Dibang_Valley,3439
Assam, Nagaon,370198
Assam, Golaghat,97844
Assam, Sonitpur,74841
Assam, Kamrup,32980
Assam, Cachar,22130
Assam, Barpeta,17679
Assam, Jorhat,11390
Assam, Udalguri,11091
Assam, Kamrup_Metro,10118
Assam, Karimganj,9182
Assam, Dibrugarh,9023
Assam, Tinsukia,8541
Assam, Hailakandi,6985
Assam, Dhubri,6779
Assam, Lakhimpur,6749
Assam, Sibsagar,6483
Assam, Karbi_Anglong,6421
Assam, Baksa,6282
Assam, Bongaigaon,6143
Assam, Dhemaji,5944
Assam, Kokrajhar,4676
Assam, Chirang,4637
Assam, Nalbari,4540
Assam, Darrang,4016
Assam, Marigaon,3894
Assam, Goalpara,3119
Assam, North_Cachar_Hills,783
Bihar, Patna,4.015449E6
Bihar, Muzaffarpur,3.223147E6
Bihar, East_Champaran,2.919543E6
Bihar, Samastipur,2.642998E6
Bihar, Darbhanga,2.549367E6
Bihar, Purnia,2.507017E6
Bihar, Madhubani,2.484754E6
Bihar, West_Champaran,2.448062E6
Bihar, Gaya,2.421859E6
Bihar, Saran,2.254427E6
Bihar, Katihar,2.207593E6
Bihar, Vaishali,2.088804E6
Bihar, Araria,2.032802E6
Bihar, Sitamarhi,1.991944E6
Bihar, Siwan,1.962122E6
Bihar, Begusarai,1.916875E6
Bihar, Rohtas,1.804638E6
