State, Enrolled, Population
Uttar Pradesh, 135725016, 211105381
Maharashtra, 102859193, 118861427
West Bengal, 71227086, 96622186
Bihar, 63635668, 109789353
Madhya Pradesh, 61648798, 76789374
Tamil Nadu, 58671837, 76304287
Rajasthan, 55225633, 72583213
Karnataka, 53143956, 64660412
Andhra Pradesh, 49255568, 52229924
Gujarat, 46028985, 63870200
Telangana, 37222755, 37253813
Kerala, 32921148, 35315493
Odisha, 32206431, 44369413
Jharkhand, 29305212, 34869720
Punjab, 27713984, 29303888
Haryana, 25508378, 26816977
Chhattisgarh, 23598937, 27014896
Delhi, 19129345, 17720573
Uttarakhand, 7863333, 10700897
Himachal Pradesh, 6768101, 7252406
Jammu and Kashmir, 6670127, 13273505
Tripura, 3496344, 3882999
Manipur, 1537725, 2878911
Goa, 1401482, 1541892
Puducherry, 1221643, 1316320
Chandigarh, 1038427, 1115584
Nagaland, 1019549, 2094963
Assam, 752468, 32968997
Arunachal Pradesh, 708355, 1462443
Sikkim, 575336, 642776
Mizoram, 433309, 1154010
Andaman and Nicobar Islands, 353009, 401882
Dadra and Nagar Haveli, 301560, 362649
Daman and Diu, 181911, 256937
Meghalaya, 77744, 3135150
Lakshadweep, 62024, 68149
Others, 1012, 0

